"","purpose","month","Akershus","Aust-Agder","Buskerud","Finnmark - Finnmárku","Hedmark","Hordaland","Møre og Romsdal","Nordland","Oppland","Oslo","Rogaland","Sogn og Fjordane","Svalbard","Telemark","Troms - Romsa","Vest-Agder","Vestfold","Østfold","Trondelag","Norge"
"53","Ferie, fritid",1990-05-01,10996,4609,25106,5528,8349,49005,10253,6884,23781,34759,7127,22702,0,16484,4121,7812,4229,2750,19765,264260
"54","Ferie, fritid",1990-06-01,24224,17118,74230,33420,25929,117695,35970,42747,122290,73916,20837,70106,0,43796,16304,18673,16928,8151,55405,817739
"55","Ferie, fritid",1990-07-01,34593,41691,143390,58944,45696,161223,58202,83872,243609,119458,20061,103315,0,80760,33316,56711,31636,15717,95035,1427229
"56","Ferie, fritid",1990-08-01,28573,18276,103105,30124,36506,137328,35828,37650,180306,105580,14136,77404,0,54151,17688,18601,13075,8563,50038,966932
"57","Ferie, fritid",1990-09-01,8614,8600,57266,6617,19969,55212,10672,9399,105269,45904,9119,22941,0,36188,5596,5838,3786,3364,23475,437829
"58","Ferie, fritid",1990-10-01,7081,5794,33934,2047,9431,24779,5287,4947,38370,32706,6539,7251,0,20768,4656,4156,3572,1992,17162,230472
"59","Ferie, fritid",1990-11-01,4617,2804,26101,1935,8513,22615,7431,6367,31339,31786,7179,6734,0,17811,4205,4954,2315,2888,17038,206632
"60","Ferie, fritid",1990-12-01,3818,9870,69647,1894,18182,21287,7918,6526,64397,20338,7065,6015,0,28346,4247,4334,3176,1685,16940,295685
"61","Ferie, fritid",1991-01-01,3694,16124,85362,1052,24054,13494,2263,3105,83004,21386,4690,1788,0,35659,3927,2827,2183,843,12947,318402
"62","Ferie, fritid",1991-02-01,3946,26970,180615,2605,42392,26081,5158,5656,163061,22112,5738,6169,0,60216,5287,7607,3689,1413,20027,588742
"63","Ferie, fritid",1991-03-01,5058,26930,190325,4920,48939,42203,10462,9159,200978,26925,9167,9717,0,69000,5492,10431,4290,2300,34977,711273
